순위,제목,가수
1,REBEL HEART,IVE (아이브)
2,Whiplash,aespa
3,toxic till the end,로제(ROSÉ)
4,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
5,Drowning,WOODZ
6,APT.,로제(ROSÉ)
7,나는 반딧불,황가람
8,너와의 모든 지금,재쓰비 (JAESSBEE)
9,DRIP,BABYMONSTER
10,오늘만 I LOVE YOU,BOYNEXTDOOR
11,HAPPY,DAY6 (데이식스)
12,Mantra,제니 (JENNIE)
13,Supernova,aespa
14,Hug (포옹),RIIZE
15,number one girl,로제(ROSÉ)
16,POWER,G-DRAGON
17,Die With A Smile,Lady GaGa(레이디 가가)
18,한 페이지가 될 수 있게,DAY6 (데이식스)
19,내게 사랑이 뭐냐고 물어본다면,로이킴
20,UP (KARINA Solo),aespa
21,내 이름 맑음,QWER
22,Welcome to the Show,DAY6 (데이식스)
23,밤양갱,비비(BIBI)
24,How Sweet,NewJeans
25,소나기,이클립스 (ECLIPSE)
26,Igloo,KISS OF LIFE
27,Supernatural,NewJeans
28,고민중독,QWER
29,청바지,부석순(SEVENTEEN)
30,우리의 다정한 계절 속에 (Season of Memories),여자친구(GFRIEND)
31,I AM,IVE (아이브)
32,Armageddon,aespa
33,첫 만남은 계획대로 되지 않아,TWS (투어스)
34,천상연,이창섭
35,나는 아픈 건 딱 질색이니까,(여자)아이들
36,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
37,Letter To Myself,태연 (TAEYEON)
38,Love wins all,아이유(IU)
39,에피소드,이무진
40,Ditto,NewJeans
41,녹아내려요,DAY6 (데이식스)
42,예뻤어,DAY6 (데이식스)
43,Magnetic,아일릿(ILLIT)
44,청춘만화,이무진
45,슬픈 초대장,순순희 (지환)
46,Attention,NewJeans
47,사건의 지평선,윤하(Younha/ユンナ)
48,"무제(無題) (Untitled, 2014)",G-DRAGON
49,Sticky,KISS OF LIFE
50,Hype Boy,NewJeans
51,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
52,Supersonic,프로미스나인
53,해야 (HEYA),IVE (아이브)
54,사랑은 늘 도망가,임영웅
55,너의 모든 순간,성시경
56,Love me or Leave me,DAY6 (데이식스)
57,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
58,주저하는 연인들을 위해,잔나비
59,Small girl (feat. 도경수(D.O.)),이영지
60,네모네모,YENA (최예나)
61,Boom Boom Bass,RIIZE
62,Bubble Gum,NewJeans
63,ETA,NewJeans
64,비의 랩소디,임재현
65,SPOT! (feat. JENNIE),지코 (ZICO)
66,To. X,태연 (TAEYEON)
67,인사,범진
68,Congratulations,DAY6 (데이식스)
69,Super Shy,NewJeans
70,헤어지자 말해요,박재정
71,Cherish (My Love),아일릿(ILLIT)
72,MEOW,MEOVV (미야오)
73,미안해 미워해 사랑해,Crush
74,사랑인가 봐,멜로망스(MeloMance)
75,After LIKE,IVE (아이브)
76,Spicy,aespa
77,Dangerously,Charlie Puth(찰리 푸스)
78,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
79,내가 널 지켜줄게,폴킴(Paul Kim)
80,숲,최유리
81,청혼하지 않을 이유를 못 찾았어,이무진
82,첫 눈,EXO
83,그녀가 웃었다,DAY6 (데이식스)
84,클락션 (Klaxon),(여자)아이들
85,LOVE DIVE,IVE (아이브)
86,Drama,aespa
87,Live My Life,aespa
88,Strategy (feat. Megan Thee Stallion),TWICE (트와이스)
89,아직 거기 살아,DAY6 (데이식스)
90,Girls Never Die,tripleS (트리플에스)
91,Cruel Summer,Taylor Swift(테일러 스위프트)
92,Gravity,FIFTY FIFTY
93,그걸 사랑이라고 말하지마,다비치
94,stay a little longer,로제(ROSÉ)
95,drinks or coffee,로제(ROSÉ)
96,시작의 아이,마크툽(MAKTUB)
97,Take Care,다이나믹 듀오
98,To Forget,Yale Lee
99,살기 위해서,순순희
100,우연 (우울한 우연),베이비복스(Baby V.O.X)
