날짜,순위,제목,가수
2024-10-16,1,Mantra,제니 (JENNIE)
2024-10-16,2,UP (KARINA Solo),aespa
2024-10-16,3,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-10-16,4,내 이름 맑음,QWER
2024-10-16,5,HAPPY,DAY6 (데이식스)
2024-10-16,6,녹아내려요,DAY6 (데이식스)
2024-10-16,7,Supernova,aespa
2024-10-16,8,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-10-16,9,Welcome to the Show,DAY6 (데이식스)
2024-10-16,10,Supersonic,프로미스나인
2024-10-16,11,Supernatural,NewJeans
2024-10-16,12,MEOW,MEOVV (미야오)
2024-10-16,13,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-10-16,14,달랐을까,PLAVE
2024-10-16,15,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-10-16,16,고민중독,QWER
2024-10-16,17,How Sweet,NewJeans
2024-10-16,18,Armageddon,aespa
2024-10-16,19,Drowning,WOODZ
2024-10-16,20,Sticky,KISS OF LIFE
2024-10-16,21,소나기,이클립스 (ECLIPSE)
2024-10-16,22,Small girl (feat. 도경수(D.O.)),이영지
2024-10-16,23,SOS,FIFTY FIFTY
2024-10-16,24,예뻤어,DAY6 (데이식스)
2024-10-16,25,클락션 (Klaxon),(여자)아이들
2024-10-16,26,Bubble Gum,NewJeans
2024-10-16,27,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-10-16,28,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-10-16,29,Magnetic,아일릿(ILLIT)
2024-10-16,30,Love wins all,아이유(IU)
2024-10-16,31,네모네모,YENA (최예나)
2024-10-16,32,별별별 (See that?),NMIXX
2024-10-16,33,Gravity,FIFTY FIFTY
2024-10-16,34,천상연,이창섭
2024-10-16,35,그녀가 웃었다,DAY6 (데이식스)
2024-10-16,36,해야 (HEYA),IVE (아이브)
2024-10-16,37,에피소드,이무진
2024-10-16,38,Hype Boy,NewJeans
2024-10-16,39,Love me or Leave me,DAY6 (데이식스)
2024-10-16,40,Congratulations,DAY6 (데이식스)
2024-10-16,41,청춘만화,이무진
2024-10-16,42,Ditto,NewJeans
2024-10-16,43,숲,최유리
2024-10-16,44,Touch,KATSEYE
2024-10-16,45,ETA,NewJeans
2024-10-16,46,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-10-16,47,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-10-16,48,I AM,IVE (아이브)
2024-10-16,49,아직 거기 살아,DAY6 (데이식스)
2024-10-16,50,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-10-16,51,Attention,NewJeans
2024-10-16,52,태양물고기,윤하(Younha/ユンナ)
2024-10-16,53,CRAZY,LE SSERAFIM (르세라핌)
2024-10-16,54,밤양갱,비비(BIBI)
2024-10-16,55,To. X,태연 (TAEYEON)
2024-10-16,56,Live My Life,aespa
2024-10-16,57,To Heaven (천국으로 보낸 편지),허각
2024-10-16,58,Boom Boom Bass,RIIZE
2024-10-16,59,SPOT! (feat. JENNIE),지코 (ZICO)
2024-10-16,60,주저하는 연인들을 위해,잔나비
2024-10-16,61,비의 랩소디,임재현
2024-10-16,62,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-10-16,63,헤어지자 말해요,박재정
2024-10-16,64,Super Shy,NewJeans
2024-10-16,65,너의 모든 순간,성시경
2024-10-16,66,사건의 지평선,윤하(Younha/ユンナ)
2024-10-16,67,인사,범진
2024-10-16,68,Spicy,aespa
2024-10-16,69,슬픈 초대장,순순희 (지환)
2024-10-16,70,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-10-16,71,Drama,aespa
2024-10-16,72,미안해 미워해 사랑해,Crush
2024-10-16,73,Get Loud,KISS OF LIFE
2024-10-16,74,New Jeans,NewJeans
2024-10-16,75,Girls Never Die,tripleS (트리플에스)
2024-10-16,76,Electric Shock,강다니엘(KANG DANIEL)
2024-10-16,77,After LIKE,IVE (아이브)
2024-10-16,78,Cosmic,Red Velvet (레드벨벳)
2024-10-16,79,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-10-16,80,Get A Guitar,RIIZE
2024-10-16,81,OMG,NewJeans
2024-10-16,82,오래된 노래,허각
2024-10-16,83,사랑인가 봐,멜로망스(MeloMance)
2024-10-16,84,SHEESH,BABYMONSTER
2024-10-16,85,LOVE DIVE,IVE (아이브)
2024-10-16,86,LOVE ATTACK,RESCENE (리센느)
2024-10-16,87,Dangerously,Charlie Puth(찰리 푸스)
2024-10-16,88,청혼하지 않을 이유를 못 찾았어,이무진
2024-10-16,89,괴물,DAY6 (데이식스)
2024-10-16,90,도와줘요 Rock&Roll,DAY6 (데이식스)
2024-10-16,91,Blue Moon,엔플라잉(N.Flying)
2024-10-16,92,사랑은 늘 도망가,임영웅
2024-10-16,93,그랬나봐,유회승 (엔플라잉)
2024-10-16,94,MANIAC,VIVIZ (비비지)
2024-10-16,95,Seven (feat. Latto) - Clean Ver.,정국
2024-10-16,96,Right Now,NewJeans
2024-10-16,97,Accendio,IVE (아이브)
2024-10-16,98,Love Lee,AKMU(악뮤)
2024-10-16,99,Balloon in Love,선미
2024-10-16,100,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2024-10-17,1,Mantra,제니 (JENNIE)
2024-10-17,2,UP (KARINA Solo),aespa
2024-10-17,3,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-10-17,4,내 이름 맑음,QWER
2024-10-17,5,HAPPY,DAY6 (데이식스)
2024-10-17,6,Supernova,aespa
2024-10-17,7,녹아내려요,DAY6 (데이식스)
2024-10-17,8,Supersonic,프로미스나인
2024-10-17,9,Welcome to the Show,DAY6 (데이식스)
2024-10-17,10,Supernatural,NewJeans
2024-10-17,11,고민중독,QWER
2024-10-17,12,달랐을까,PLAVE
2024-10-17,13,MEOW,MEOVV (미야오)
2024-10-17,14,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-10-17,15,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-10-17,16,How Sweet,NewJeans
2024-10-17,17,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-10-17,18,Armageddon,aespa
2024-10-17,19,소나기,이클립스 (ECLIPSE)
2024-10-17,20,Drowning,WOODZ
2024-10-17,21,Small girl (feat. 도경수(D.O.)),이영지
2024-10-17,22,SOS,FIFTY FIFTY
2024-10-17,23,Sticky,KISS OF LIFE
2024-10-17,24,예뻤어,DAY6 (데이식스)
2024-10-17,25,첫 만남은 계획대로 되지 않아,TWS (투어스)
2024-10-17,26,Bubble Gum,NewJeans
2024-10-17,27,네모네모,YENA (최예나)
2024-10-17,28,나는 아픈 건 딱 질색이니까,(여자)아이들
2024-10-17,29,Magnetic,아일릿(ILLIT)
2024-10-17,30,클락션 (Klaxon),(여자)아이들
2024-10-17,31,별별별 (See that?),NMIXX
2024-10-17,32,천상연,이창섭
2024-10-17,33,Love wins all,아이유(IU)
2024-10-17,34,Hype Boy,NewJeans
2024-10-17,35,Love me or Leave me,DAY6 (데이식스)
2024-10-17,36,해야 (HEYA),IVE (아이브)
2024-10-17,37,에피소드,이무진
2024-10-17,38,그녀가 웃었다,DAY6 (데이식스)
2024-10-17,39,Gravity,FIFTY FIFTY
2024-10-17,40,청춘만화,이무진
2024-10-17,41,Congratulations,DAY6 (데이식스)
2024-10-17,42,Electric Shock,강다니엘(KANG DANIEL)
2024-10-17,43,Ditto,NewJeans
2024-10-17,44,Touch,KATSEYE
2024-10-17,45,ETA,NewJeans
2024-10-17,46,숲,최유리
2024-10-17,47,아직 거기 살아,DAY6 (데이식스)
2024-10-17,48,밤양갱,비비(BIBI)
2024-10-17,49,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2024-10-17,50,I AM,IVE (아이브)
2024-10-17,51,Cruel Summer,Taylor Swift(테일러 스위프트)
2024-10-17,52,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2024-10-17,53,To. X,태연 (TAEYEON)
2024-10-17,54,CRAZY,LE SSERAFIM (르세라핌)
2024-10-17,55,태양물고기,윤하(Younha/ユンナ)
2024-10-17,56,Attention,NewJeans
2024-10-17,57,주저하는 연인들을 위해,잔나비
2024-10-17,58,Boom Boom Bass,RIIZE
2024-10-17,59,비의 랩소디,임재현
2024-10-17,60,Live My Life,aespa
2024-10-17,61,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2024-10-17,62,SPOT! (feat. JENNIE),지코 (ZICO)
2024-10-17,63,너의 모든 순간,성시경
2024-10-17,64,Super Shy,NewJeans
2024-10-17,65,헤어지자 말해요,박재정
2024-10-17,66,미안해 미워해 사랑해,Crush
2024-10-17,67,Girls Never Die,tripleS (트리플에스)
2024-10-17,68,사건의 지평선,윤하(Younha/ユンナ)
2024-10-17,69,그리운건 그대일까 그때일까 (A Sleepless Night),씨엔블루(CNBLUE)
2024-10-17,70,Drama,aespa
2024-10-17,71,인사,범진
2024-10-17,72,Spicy,aespa
2024-10-17,73,New Jeans,NewJeans
2024-10-17,74,Cosmic,Red Velvet (레드벨벳)
2024-10-17,75,Steal The Show (From “엘리멘탈”),Lauv(라우브)
2024-10-17,76,Get A Guitar,RIIZE
2024-10-17,77,After LIKE,IVE (아이브)
2024-10-17,78,청혼하지 않을 이유를 못 찾았어,이무진
2024-10-17,79,슬픈 초대장,순순희 (지환)
2024-10-17,80,사랑인가 봐,멜로망스(MeloMance)
2024-10-17,81,Blue Moon,엔플라잉(N.Flying)
2024-10-17,82,오래된 노래,허각
2024-10-17,83,Dangerously,Charlie Puth(찰리 푸스)
2024-10-17,84,SHEESH,BABYMONSTER
2024-10-17,85,LOVE ATTACK,RESCENE (리센느)
2024-10-17,86,LOVE DIVE,IVE (아이브)
2024-10-17,87,OMG,NewJeans
2024-10-17,88,그랬나봐,유회승 (엔플라잉)
2024-10-17,89,사랑은 늘 도망가,임영웅
2024-10-17,90,Love Lee,AKMU(악뮤)
2024-10-17,91,Get Loud,KISS OF LIFE
2024-10-17,92,To Heaven (천국으로 보낸 편지),허각
2024-10-17,93,도와줘요 Rock&Roll,DAY6 (데이식스)
2024-10-17,94,Seven (feat. Latto) - Clean Ver.,정국
2024-10-17,95,괴물,DAY6 (데이식스)
2024-10-17,96,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
2024-10-17,97,Accendio,IVE (아이브)
2024-10-17,98,Right Now,NewJeans
2024-10-17,99,Balloon in Love,선미
2024-10-17,100,MANIAC,VIVIZ (비비지)
2024-10-18,1,APT.,로제(ROSÉ)
2024-10-18,2,Mantra,제니 (JENNIE)
2024-10-18,3,UP (KARINA Solo),aespa
2024-10-18,4,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴(SEVENTEEN)
2024-10-18,5,내 이름 맑음,QWER
2024-10-18,6,HAPPY,DAY6 (데이식스)
2024-10-18,7,Supernova,aespa
2024-10-18,8,녹아내려요,DAY6 (데이식스)
2024-10-18,9,Welcome to the Show,DAY6 (데이식스)
2024-10-18,10,한 페이지가 될 수 있게,DAY6 (데이식스)
2024-10-18,11,Supernatural,NewJeans
2024-10-18,12,고민중독,QWER
2024-10-18,13,Supersonic,프로미스나인
2024-10-18,14,MEOW,MEOVV (미야오)
2024-10-18,15,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2024-10-18,16,How Sweet,NewJeans
2024-10-18,17,달랐을까,PLAVE
2024-10-18,18,내게 사랑이 뭐냐고 물어본다면,로이킴
2024-10-18,19,소나기,이클립스 (ECLIPSE)
2024-10-18,20,Drowning,WOODZ
2024-10-18,21,Armageddon,aespa
2024-10-18,22,Sticky,KISS OF LIFE
