날짜,순위,제목,가수
2025-01-24,1,REBEL HEART,IVE (아이브)
2025-01-24,2,Whiplash,aespa
2025-01-24,3,toxic till the end,로제(ROSÉ)
2025-01-24,4,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
2025-01-24,5,APT.,로제(ROSÉ)
2025-01-24,6,Drowning,WOODZ
2025-01-24,7,나는 반딧불,황가람
2025-01-24,8,너와의 모든 지금,재쓰비 (JAESSBEE)
2025-01-24,9,DRIP,BABYMONSTER
2025-01-24,10,HAPPY,DAY6 (데이식스)
2025-01-24,11,오늘만 I LOVE YOU,BOYNEXTDOOR
2025-01-24,12,Mantra,제니 (JENNIE)
2025-01-24,13,Supernova,aespa
2025-01-24,14,number one girl,로제(ROSÉ)
2025-01-24,15,Hug (포옹),RIIZE
2025-01-24,16,내 이름 맑음,QWER
2025-01-24,17,한 페이지가 될 수 있게,DAY6 (데이식스)
2025-01-24,18,POWER,G-DRAGON
2025-01-24,19,UP (KARINA Solo),aespa
2025-01-24,20,고민중독,QWER
2025-01-24,21,Welcome to the Show,DAY6 (데이식스)
2025-01-24,22,Die With A Smile,Lady GaGa(레이디 가가)
2025-01-24,23,내게 사랑이 뭐냐고 물어본다면,로이킴
2025-01-24,24,Supernatural,NewJeans
2025-01-24,25,How Sweet,NewJeans
2025-01-24,26,우리의 다정한 계절 속에 (Season of Memories),여자친구(GFRIEND)
2025-01-24,27,Igloo,KISS OF LIFE
2025-01-24,28,청바지,부석순(SEVENTEEN)
2025-01-24,29,소나기,이클립스 (ECLIPSE)
2025-01-24,30,Armageddon,aespa
2025-01-24,31,첫 만남은 계획대로 되지 않아,TWS (투어스)
2025-01-24,32,천상연,이창섭
2025-01-24,33,예뻤어,DAY6 (데이식스)
2025-01-24,34,나는 아픈 건 딱 질색이니까,(여자)아이들
2025-01-24,35,녹아내려요,DAY6 (데이식스)
2025-01-24,36,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU(악뮤)
2025-01-24,37,Letter To Myself,태연 (TAEYEON)
2025-01-24,38,I AM,IVE (아이브)
2025-01-24,39,에피소드,이무진
2025-01-24,40,Love wins all,아이유(IU)
2025-01-24,41,Ditto,NewJeans
2025-01-24,42,밤양갱,비비(BIBI)
2025-01-24,43,청춘만화,이무진
2025-01-24,44,Magnetic,아일릿(ILLIT)
2025-01-24,45,Hype Boy,NewJeans
2025-01-24,46,슬픈 초대장,순순희 (지환)
2025-01-24,47,Small girl (feat. 도경수(D.O.)),이영지
2025-01-24,48,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
2025-01-24,49,너의 모든 순간,성시경
2025-01-24,50,Supersonic,프로미스나인
2025-01-24,51,해야 (HEYA),IVE (아이브)
2025-01-24,52,Bubble Gum,NewJeans
2025-01-24,53,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션(Nerd Connection)
2025-01-24,54,Sticky,KISS OF LIFE
2025-01-24,55,Congratulations,DAY6 (데이식스)
2025-01-24,56,Love me or Leave me,DAY6 (데이식스)
2025-01-24,57,ETA,NewJeans
2025-01-24,58,비의 랩소디,임재현
2025-01-24,59,To. X,태연 (TAEYEON)
2025-01-24,60,숲,최유리
2025-01-24,61,Attention,NewJeans
2025-01-24,62,주저하는 연인들을 위해,잔나비
2025-01-24,63,Cherish (My Love),아일릿(ILLIT)
2025-01-24,64,"무제(無題) (Untitled, 2014)",G-DRAGON
2025-01-24,65,사랑인가 봐,멜로망스(MeloMance)
2025-01-24,66,네모네모,YENA (최예나)
2025-01-24,67,인사,범진
2025-01-24,68,After LIKE,IVE (아이브)
2025-01-24,69,사건의 지평선,윤하(Younha/ユンナ)
2025-01-24,70,클락션 (Klaxon),(여자)아이들
2025-01-24,71,Super Shy,NewJeans
2025-01-24,72,헤어지자 말해요,박재정
2025-01-24,73,Boom Boom Bass,RIIZE
2025-01-24,74,Girls Never Die,tripleS (트리플에스)
2025-01-24,75,미안해 미워해 사랑해,Crush
2025-01-24,76,내가 널 지켜줄게,폴킴(Paul Kim)
2025-01-24,77,SPOT! (feat. JENNIE),지코 (ZICO)
2025-01-24,78,Live My Life,aespa
2025-01-24,79,청혼하지 않을 이유를 못 찾았어,이무진
2025-01-24,80,LOVE DIVE,IVE (아이브)
2025-01-24,81,첫 눈,EXO
2025-01-24,82,Drama,aespa
2025-01-24,83,MEOW,MEOVV (미야오)
2025-01-24,84,drinks or coffee,로제(ROSÉ)
2025-01-24,85,Spicy,aespa
2025-01-24,86,Strategy (feat. Megan Thee Stallion),TWICE (트와이스)
2025-01-24,87,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
2025-01-24,88,Gravity,FIFTY FIFTY
2025-01-24,89,Cruel Summer,Taylor Swift(테일러 스위프트)
2025-01-24,90,그녀가 웃었다,DAY6 (데이식스)
2025-01-24,91,Dangerously,Charlie Puth(찰리 푸스)
2025-01-24,92,아직 거기 살아,DAY6 (데이식스)
2025-01-24,93,사랑은 늘 도망가,임영웅
2025-01-24,94,살기 위해서,순순희
2025-01-24,95,그걸 사랑이라고 말하지마,다비치
2025-01-24,96,시작의 아이,마크툽(MAKTUB)
2025-01-24,97,Take Care,다이나믹 듀오
2025-01-24,98,stay a little longer,로제(ROSÉ)
2025-01-24,99,우연 (우울한 우연),베이비복스(Baby V.O.X)
2025-01-24,100,밤에 내린 눈 (Snowfall at Night),도경수(D.O.)
