순위,제목,가수
1,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
2,I AM,IVE (아이브)
3,Kitsch,IVE (아이브)
4,Cupid,FIFTY FIFTY
5,꽃,지수(JISOO)
6,손오공,세븐틴(SEVENTEEN)
7,Ditto,NewJeans
8,Hype Boy,NewJeans
9,Teddy Bear,STAYC(스테이씨)
10,OMG,NewJeans
11,물론,허각
12,KNOCK,이채연
13,Love Me Like This,NMIXX
14,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
15,I Don’t Think That I Like Her,Charlie Puth(찰리 푸스)
16,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
17,No-Return (Into the unknown),LE SSERAFIM (르세라핌)
18,헤어지자 말해요,박재정
19,Attention,NewJeans
20,Dangerously,Charlie Puth(찰리 푸스)
21,LOVE DIVE,IVE (아이브)
22,After LIKE,IVE (아이브)
23,사건의 지평선,윤하(Younha/ユンナ)
24,CHRISTIAN,지올팍(Zior Park)
25,파이팅 해야지 (Feat. 이영지),부석순(SEVENTEEN)
26,ANTIFRAGILE,LE SSERAFIM (르세라핌)
27,FRIEND THE END,볼빨간사춘기
28,Cupid (Twin Ver.),FIFTY FIFTY
29,When I Get Old,Christopher(크리스토퍼)
30,오르트구름,윤하(Younha/ユンナ)
31,빛이 나는 너에게,던 (DAWN)
32,심(心),DK(디셈버)
33,한 페이지가 될 수 있게,DAY6 (데이식스)
34,Heaven(2023),임재현
35,Poppy (Korean Ver.),STAYC(스테이씨)
36,사랑인가 봐,멜로망스(MeloMance)
37,Flash Forward,LE SSERAFIM (르세라핌)
38,Pink Venom,BLACKPINK
39,"피어나 (Between you, me and the lamppost)",LE SSERAFIM (르세라핌)
40,That's Hilarious,Charlie Puth(찰리 푸스)
41,ELEVEN,IVE (아이브)
42,Perfume,NCT 도재정
43,Shut Down,BLACKPINK
44,Fire in the belly,LE SSERAFIM (르세라핌)
45,Nostalgia,우디(Woody)
46,FEARLESS,LE SSERAFIM (르세라핌)
47,너의 모든 순간,성시경
48,안녕이라고 말하지마,V.O.S.
49,그라데이션,10CM
50,F*ck My Life,세븐틴(SEVENTEEN)
51,밤이 무서워요 (Lonely Night),주주 시크릿
52,Say I Love You,우디(Woody)
53,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현)
54,Cookie,NewJeans
55,나의 마음에 (Seed),태양
56,TOMBOY,(여자)아이들
57,VIBE (feat. Jimin of BTS),태양
58,Candy,NCT DREAM
59,STAY,The Kid LAROI
60,주저하는 연인들을 위해,잔나비
61,Chase Love Hard (Feat. 황민현),볼빨간사춘기
62,Off My Face,Justin Bieber(저스틴 비버)
63,Say My Name,Say Yes!
64,Anti-Hero,Taylor Swift(테일러 스위프트)
65,사랑하기 싫어,지아(Zia)
66,해요 (2022),#안녕
67,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴(Paul Kim)
68,슝! (feat. LISA of BLACKPINK),태양
69,친구로 지내다 보면 (Feat. 김민석 of 멜로망스),BIG Naughty (서동현)
70,사랑은 늘 도망가,임영웅
71,That’s Not How This Works (feat. Dan + Shay),Charlie Puth(찰리 푸스)
72,Rush Hour (Feat. j-hope of BTS),Crush
73,딱 10CM만,10CM
74,다정히 내 이름을 부르면,경서예지
75,Burn the Bridge,LE SSERAFIM (르세라핌)
76,Monologue,테이(Tei)
77,취중고백,김민석 (멜로망스)
78,새삥 (Prod. ZICO) (Feat. 호미들),지코 (ZICO)
79,자격지심 (Feat. ZICO),BE'O (비오)
80,Unholy,Sam Smith(샘 스미스)
81,FEARLESS (2023 Ver.),LE SSERAFIM (르세라핌)
82,Feel My Rhythm,Red Velvet (레드벨벳)
83,사람 Pt.2 (feat. 아이유),Agust D
84,내가 아니라도,주호
85,WHEN I MOVE,카라(Kara)
86,Higher,FIFTY FIFTY
87,봄여름가을겨울 (Still Life),BIGBANG (빅뱅)
88,Nxde,(여자)아이들
89,Expectations,Anne-Marie(앤 마리)
90,NOT SORRY (Feat. pH-1) (Prod. by Slom),이영지
91,INVU,태연 (TAEYEON)
92,Blue Blood,IVE (아이브)
93,청소 (여름날 우리 X 스탠딩 에그),스탠딩 에그(Standing Egg)
94,그때 그 순간 그대로 (그그그),WSG워너비 (가야G)
95,LOVE me,BE'O (비오)
96,드라마,아이유(IU)
97,Lips,IVE (아이브)
98,Blue Flame (2023 Ver.),LE SSERAFIM (르세라핌)
99,도깨비불 (Illusion),aespa
100,Hurt,NewJeans
